ID,type,lng                 ,lat                 ,pack_total_weight,pack_total_volume,first_receive_tm,last_receive_tm
0,1,116.141472 ,39.956932 ,-,-,08:00,00:00
50001,2,116.601568 ,39.951513 ,0.0233,0.0808,11:30,12:00
50002,2,116.412138 ,39.956784 ,0.01448,0.0474,09:00,10:30
50003,2,116.322119 ,39.932563 ,0.2699,0.7089,08:00,10:00
50004,2,116.399498 ,39.925915 ,0.03728,0.1293,09:00,11:00
50005,2,116.662575 ,39.868626 ,0.03492,0.0752,11:00,11:30
50006,2,116.402981 ,39.939190 ,0.09345,0.193,09:00,10:00
50007,2,116.253428 ,40.052571 ,0.11457,0.2499,08:30,10:00
50008,2,116.531504 ,40.018690 ,0.1188,0.2951,10:00,12:00
50009,2,116.321862 ,39.969910 ,0.32922,0.9087,10:00,12:00
50010,2,116.372615 ,39.861817 ,0.01864,0.0647,09:30,11:30
50011,2,116.254576 ,39.816948 ,0.0233,0.0808,10:00,11:00
50012,2,116.235474 ,40.073661 ,0.0233,0.0808,08:00,09:00
50013,2,116.662640 ,39.902105 ,0.16514,0.4699,11:00,12:00
50014,2,116.175597 ,40.138825 ,0.00788,0.0913,09:30,11:00
50015,2,116.594660 ,39.909594 ,0.172,0.4,10:00,12:00
50016,2,116.560182 ,39.926281 ,0.01864,0.0647,08:00,09:30
50017,2,116.455684 ,40.020494 ,0.0233,0.0808,09:00,11:00
50018,2,116.178557 ,39.933607 ,0.00268,0.016,08:00,08:30
50019,2,116.206420 ,39.910762 ,0.0233,0.0808,10:00,10:30
50020,2,116.526048 ,40.125240 ,0.00484,0.016,10:30,11:00
50021,2,116.435160 ,39.841622 ,0.02152,0.0766,08:00,09:00
50022,2,116.484398 ,39.991689 ,0.2312,0.6549,09:00,10:00
50023,2,116.213881 ,40.162757 ,0.4266,0.9951,10:00,11:00
50024,2,116.169919 ,40.081007 ,0.1829,0.5048,08:00,09:00
50025,2,116.368982 ,39.991744 ,0.289,0.8238,09:00,10:00
50026,2,116.584462 ,39.775935 ,0.61941,1.226,10:00,11:30
50027,2,116.373762 ,39.896645 ,0.20617,0.394,09:00,10:30
50028,2,116.575505 ,40.034110 ,0.17006,0.4104,10:00,11:30
50029,2,116.579401 ,39.799296 ,0.07206,0.1378,09:00,10:30
50030,2,116.405098 ,39.854012 ,0.1957,0.565,08:30,10:30
50031,2,116.370587 ,39.879335 ,0.0101,0.0238,09:30,11:30
50032,2,116.577420 ,39.820522 ,0.02286,0.0323,11:00,12:00
50033,2,116.567662 ,39.807068 ,0.01584,0.0208,09:00,10:00
50034,2,116.501883 ,39.943854 ,0.06624,0.0935,08:00,09:00
50035,2,116.428632 ,39.942630 ,0.17127,0.4699,11:00,12:00
50036,2,116.171591 ,39.916688 ,0.01864,0.0647,08:00,09:00
50037,2,116.413422 ,40.108700 ,0.22074,0.6799,10:00,11:30
50038,2,116.340421 ,39.962202 ,0.39317,1.0838,10:30,12:00
50039,2,116.490455 ,40.062981 ,1.33534,10.0352,10:00,11:30
50040,2,116.173078 ,39.829917 ,0.26759,0.6061,08:00,09:00
50041,2,116.485587 ,39.749063 ,0.00724,0.0237,08:30,10:00
50042,2,116.270369 ,40.064991 ,0.15215,0.3912,09:30,11:30
50043,2,116.410394 ,39.749525 ,0.0502,0.1166,09:00,10:30
50044,2,116.367430 ,39.943948 ,0.1786,0.3202,10:00,11:30
50045,2,116.622613 ,39.828987 ,0.76629,1.5824,09:00,11:00
50046,2,116.344687 ,40.098548 ,0.10814,0.3142,08:30,10:30
50047,2,116.412047 ,39.921248 ,0.07274,0.1546,08:00,10:00
50048,2,116.666681 ,39.963302 ,0.0724,0.2369,08:00,10:00
50049,2,116.623855 ,40.034764 ,0.00459,0.0313,09:00,11:00
50050,2,116.260720 ,39.867382 ,0.32034,0.6451,08:00,10:00
50051,2,116.116424 ,39.698811 ,0.4215,0.8489,09:00,11:00
50052,2,116.441446 ,39.907006 ,0.26976,0.5433,10:00,12:00
50053,2,116.414931 ,40.116648 ,0.08702,0.1659,10:00,12:00
