ID,type,lng                 ,lat                 ,pack_total_weight,pack_total_volume,first_receive_tm,last_receive_tm
0,1,116.169919 ,40.081007 ,-,-,08:00,00:00
40001,2,116.601568 ,39.951513 ,0.1595,0.3501,08:30,09:30
40002,2,116.412138 ,39.956784 ,0.1595,0.3501,09:00,10:30
40003,2,116.322119 ,39.932563 ,0.00104,0.0059,09:00,11:00
40004,2,116.399498 ,39.925915 ,0.01804,0.0304,10:00,10:30
40005,2,116.662575 ,39.868626 ,0.243,3.1518,10:30,11:30
40006,2,116.402981 ,39.939190 ,0.0928,0.144,10:00,11:30
40007,2,116.253428 ,40.052571 ,0.050838,0.2988,10:00,12:00
40008,2,116.531504 ,40.018690 ,0.10328,0.7889,08:00,09:30
40009,2,116.321862 ,39.969910 ,0.0528,0.1071,11:00,11:30
40010,2,116.372615 ,39.861817 ,0.16505,0.6405,10:00,11:00
40011,2,116.254576 ,39.816948 ,0.031085,0.2853,08:00,09:00
40012,2,116.235474 ,40.073661 ,0.046,0.0782,08:00,09:30
40013,2,116.662640 ,39.902105 ,0.00495,0.0239,10:30,12:00
40014,2,116.175597 ,40.138825 ,0.1908,1.4857,10:00,11:30
40015,2,116.594660 ,39.909594 ,0.56,0.9078,09:00,11:00
40016,2,116.560182 ,39.926281 ,0.0076,0.0144,08:00,10:00
40017,2,116.455684 ,40.020494 ,0.00128,0.0143,08:00,09:30
40018,2,116.178557 ,39.933607 ,0.33218,0.6715,08:00,10:00
40019,2,116.206420 ,39.910762 ,0.01046,0.0192,09:00,09:30
40020,2,116.526048 ,40.125240 ,0.0108,0.0178,10:00,10:30
40021,2,116.141472 ,39.956932 ,0.046,1,08:00,08:30
40022,2,116.484398 ,39.991689 ,0.0012,1,09:00,10:00
40023,2,116.213881 ,40.162757 ,0.049,1,08:30,09:00
40024,2,116.435160 ,39.841622 ,0.01452,0.0923,09:00,10:00
40025,2,116.368982 ,39.991744 ,0.00698,0.0451,09:30,10:30
40026,2,116.584462 ,39.775935 ,0.001275,0.0061,09:30,10:30
40027,2,116.373762 ,39.896645 ,0.05006,0.4135,10:00,11:00
40028,2,116.575505 ,40.034110 ,0.03004,1.288,10:30,11:30
40029,2,116.579401 ,39.799296 ,0.05238,0.0975,10:30,11:30
40030,2,116.405098 ,39.854012 ,0.19118,0.4972,08:00,09:30
40031,2,116.370587 ,39.879335 ,0.04634,0.1092,09:00,10:30
40032,2,116.577420 ,39.820522 ,0.61169,1.6233,09:30,11:00
40033,2,116.567662 ,39.807068 ,0.19055,0.3951,10:00,12:00
40034,2,116.501883 ,39.943854 ,0.51068,1.288,09:00,11:00
