ID,type,lng                 ,lat                 ,pack_total_weight,pack_total_volume,first_receive_tm,last_receive_tm
0,1,116.186690 ,40.057311 ,-,-,08:00,00:00
20001,2,116.601568 ,39.951513 ,0.35788,0.622,09:30,10:00
20002,2,116.412138 ,39.956784 ,0.09716,0.1458,08:00,10:00
20003,2,116.322119 ,39.932563 ,0.16014,0.325,10:00,10:30
20004,2,116.399498 ,39.925915 ,0.3476,0.5824,09:30,10:00
20005,2,116.662575 ,39.868626 ,0.68136,1.2965,09:30,11:00
20006,2,116.402981 ,39.939190 ,0.27776,0.559,08:00,09:30
20007,2,116.253428 ,40.052571 ,0.28504,0.4725,08:00,10:00
20008,2,116.531504 ,40.018690 ,0.6298,0.8719,09:00,09:30
20009,2,116.321862 ,39.969910 ,2.0559,3.4995,10:30,11:00
20010,2,116.372615 ,39.861817 ,0.04528,0.1397,11:00,12:00
20011,2,116.254576 ,39.816948 ,0.28524,0.4759,10:30,11:30
20012,2,116.235474 ,40.073661 ,0.18548,0.3345,10:00,11:30
20013,2,116.662640 ,39.902105 ,0.34546,0.8647,09:30,11:30
20014,2,116.175597 ,40.138825 ,0.07362,0.1287,10:00,12:00
20015,2,116.594660 ,39.909594 ,1.10738,1.6627,08:30,10:30
20016,2,116.560182 ,39.926281 ,0.4338,0.6572,09:00,09:30
20017,2,116.455684 ,40.020494 ,0.3399,0.6005,09:30,10:00
20018,2,116.178557 ,39.933607 ,0.88504,1.8727,10:00,11:00
20019,2,116.206420 ,39.910762 ,0.56494,1.0827,09:30,10:30
20020,2,116.526048 ,40.125240 ,0.2752,0.6205,10:30,11:30
20021,2,116.141472 ,39.956932 ,0.68818,1.1576,08:00,09:00
20022,2,116.484398 ,39.991689 ,1.10568,1.7682,09:00,10:30
20023,2,116.213881 ,40.162757 ,0.02278,0.0552,08:00,09:30
20024,2,116.169919 ,40.081007 ,0.20888,0.2998,08:00,09:30
20025,2,116.368982 ,39.991744 ,0.36834,0.9816,09:00,10:30
20026,2,116.584462 ,39.775935 ,0.41124,0.8619,08:30,10:00
20027,2,116.373762 ,39.896645 ,1.04882,1.8214,08:00,10:00
20028,2,116.575505 ,40.034110 ,0.3646,0.5397,10:00,12:00
20029,2,116.579401 ,39.799296 ,0.14896,0.2467,09:00,11:00
20030,2,116.405098 ,39.854012 ,0.28856,0.4615,10:00,12:00
20031,2,116.370587 ,39.879335 ,0.03532,0.0699,08:00,09:30
20032,2,116.577420 ,39.820522 ,0.55786,0.9193,10:00,12:00
