ID,type,lng                 ,lat                 ,pack_total_weight,pack_total_volume,first_receive_tm,last_receive_tm
0,1,116.371401 ,39.733083 ,-,-,08:00,00:00
30001,2,116.641990 ,40.048796 ,0.25683,0.4037,08:00,10:00
30002,2,116.381163 ,39.799075 ,0.2586,0.3895,10:00,11:00
30003,2,116.117985 ,40.045386 ,0.263235,0.4009,09:00,11:00
30004,2,116.531842 ,39.829494 ,0.189526,0.3244,10:00,11:30
30005,2,116.399156 ,40.045214 ,0.15241,0.2824,10:00,11:00
30006,2,116.619314 ,40.118343 ,0.18954,0.3187,10:30,11:00
30007,2,116.322121 ,39.954517 ,0.16873,0.3001,11:00,11:30
30008,2,116.302773 ,40.105816 ,0.157635,0.5899,09:00,10:30
30009,2,116.502193 ,40.009199 ,0.0065,0.0104,08:30,09:30
30010,2,116.687858 ,39.973475 ,0.21551,0.3916,08:00,09:00
30011,2,116.526286 ,39.747875 ,0.00432,0.0214,10:00,10:30
30012,2,116.417559 ,39.969415 ,0.0086,0.0127,09:00,11:00
30013,2,116.490602 ,39.963339 ,0.170635,0.2697,10:30,11:30
30014,2,116.205366 ,40.145143 ,0.0924,0.3371,08:30,09:00
30015,2,116.473127 ,39.998621 ,0.16405,0.2977,08:30,10:00
30016,2,116.564156 ,39.919256 ,0.18376,0.3214,10:00,11:00
30017,2,116.628119 ,39.824310 ,0.28185,0.4355,09:30,10:00
30018,2,116.230168 ,40.071781 ,0.01988,0.0373,09:00,11:00
30019,2,116.376508 ,40.031323 ,0.12084,0.8618,09:00,10:00
30020,2,116.298797 ,39.952490 ,0.0098,0.0786,10:30,11:00
30021,2,116.188288 ,39.785815 ,0.18068,0.406,08:30,10:00
30022,2,116.124940 ,39.789416 ,0.00144,0.0146,10:00,11:00
30023,2,116.257688 ,40.099361 ,0.00138,0.0022,10:00,12:00
30024,2,116.556170 ,39.936915 ,0.09835,0.6469,09:30,11:00
30025,2,116.635922 ,39.832181 ,0.278405,0.4935,09:30,10:00
30026,2,116.105126 ,39.743710 ,0.0029,0.0515,09:00,11:00
30027,2,116.466411 ,39.988646 ,0.00249,0.034,09:00,10:00
30028,2,116.598303 ,40.050973 ,0.15183,0.2457,10:30,11:00
30029,2,116.424648 ,40.127548 ,0.19423,0.3383,09:00,10:30
30030,2,116.376915 ,39.971917 ,0.00147,0.0073,10:00,11:00
30031,2,116.707641 ,39.918890 ,0.0336,0.0734,08:00,10:00
30032,2,116.198841 ,39.708363 ,0.05849,0.4164,10:00,11:30
30033,2,116.495639 ,39.911295 ,0.20116,1.4653,09:30,10:00
30034,2,116.224640 ,39.782793 ,0.149455,0.4203,08:00,09:30
30035,2,116.568360 ,39.838198 ,0.028,0.2245,09:30,10:00
30036,2,116.353407 ,39.932741 ,0.1076,0.2995,10:00,11:30
30037,2,116.276302 ,39.780674 ,0.17524,1.3183,10:00,11:00
30038,2,116.646199 ,39.879243 ,0.0344,0.056,08:30,10:30
30039,2,116.326454 ,39.884205 ,0.234,0.4353,10:00,11:00
30040,2,116.470445 ,39.789310 ,0.2146,0.3796,08:30,10:30
30041,2,116.454592 ,39.919255 ,0.0063,0.0155,08:30,09:30
30042,2,116.189176 ,39.912679 ,0.60931,4.578,10:00,10:30
30043,2,116.166430 ,39.991848 ,0.361275,0.6278,10:00,11:00
30044,2,116.312054 ,39.828131 ,0.189518,0.362,08:00,09:00
30045,2,116.561210 ,39.972870 ,0.05432,0.3896,08:00,09:30
30046,2,116.392130 ,39.747772 ,0.0146,0.2485,08:30,09:30
30047,2,116.196599 ,39.715292 ,0.17024,0.2844,10:00,12:00
30048,2,116.452815 ,40.040456 ,0.249676,0.419,10:30,12:00
30049,2,116.303852 ,40.054474 ,0.15506,0.2766,10:30,11:00
30050,2,116.413854 ,39.842250 ,0.43526,0.8449,10:30,12:00
30051,2,116.194079 ,40.014206 ,0.65761,1.1595,08:30,09:00
30052,2,116.359950 ,39.831423 ,1.352,3.8115,08:00,10:00
30053,2,116.594821 ,40.135412 ,0.2028,0.5717,10:00,11:00
30054,2,116.490828 ,39.910101 ,1.352,3.8115,11:30,12:00
30055,2,116.466526 ,40.006020 ,1.352,3.8115,10:00,11:00
30056,2,116.164950 ,39.929904 ,0.676,1.9058,09:30,10:00
30057,2,116.316741 ,39.924148 ,0.00185,0.0064,08:00,09:00
30058,2,116.546216 ,40.031957 ,0.35122,0.6143,09:30,10:00
30059,2,116.426810 ,39.991620 ,0.00816,0.0897,09:00,10:30
30060,2,116.545360 ,39.973302 ,0.00816,0.0897,11:00,11:30
30061,2,116.586076 ,40.077451 ,0.23879,0.4043,09:00,10:30
30062,2,116.488628 ,39.854318 ,0.18042,0.316,10:00,11:00
30063,2,116.196319 ,40.016255 ,0.0326,0.0572,08:30,10:30
30064,2,116.522580 ,39.994541 ,0.18376,0.3214,10:30,11:30
30065,2,116.457262 ,39.996965 ,0.161556,0.2629,10:30,12:00
30066,2,116.627269 ,39.950806 ,0.216,1.7283,10:00,11:00
30067,2,116.574121 ,39.964850 ,0.21186,0.4432,10:00,11:30
30068,2,116.305610 ,39.982041 ,0.17603,0.3162,10:00,11:00
30069,2,116.247269 ,39.861845 ,0.194982,0.3952,08:00,10:00
30070,2,116.281850 ,40.015465 ,0.17115,0.2794,08:00,09:00
30071,2,116.416580 ,39.897067 ,0.565215,1.2288,08:00,09:30
30072,2,116.286178 ,40.151132 ,0.189059,0.4718,11:30,12:00
30073,2,116.437591 ,40.100138 ,0.0018,1,10:00,11:30
30074,2,116.379866 ,39.890645 ,0.02678,0.0385,09:30,10:30
30075,2,116.454306 ,39.890242 ,0.26855,0.4477,08:00,09:00
30076,2,116.374103 ,39.802001 ,0.0011,0.0044,08:00,08:30
30077,2,116.237082 ,39.954380 ,0.00372,0.0205,08:00,09:00
30078,2,116.692244 ,39.910436 ,0.201,1.5863,11:00,12:00
30079,2,116.186490 ,40.064186 ,0.05632,0.1509,08:00,09:00
30080,2,116.379468 ,39.910461 ,0.01408,0.0377,10:00,12:00
30081,2,116.508270 ,39.904111 ,0.05632,0.1509,08:00,09:30
30082,2,116.318873 ,40.091873 ,0.0146,0.0248,09:30,10:30
30083,2,116.543318 ,39.808051 ,0.00402,0.1147,08:30,09:00
30084,2,116.240788 ,39.929417 ,0.0146,0.0248,09:30,10:00
30085,2,116.568660 ,40.098940 ,0.0116,0.0218,09:30,11:00
30086,2,116.260495 ,39.776747 ,0.02912,0.0429,08:00,09:00
30087,2,116.535480 ,39.872472 ,0.02912,0.0429,08:30,10:00
30088,2,116.154804 ,40.075740 ,0.00836,0.0139,08:30,09:30
30089,2,116.204736 ,39.841059 ,0.00836,0.0139,08:00,09:00
30090,2,116.288365 ,39.884728 ,0.01825,0.0466,08:30,09:30
30091,2,116.123738 ,39.745815 ,0.0066,0.0359,10:30,11:30
30092,2,116.196348 ,40.015454 ,0.06856,0.1541,08:30,10:00
30093,2,116.571708 ,39.768688 ,0.0016,0.0189,10:00,10:30
30094,2,116.501301 ,39.745795 ,0.01896,0.0346,08:00,10:00
30095,2,116.114497 ,39.742268 ,0.332715,0.7865,10:30,11:00
30096,2,116.103267 ,39.757127 ,0.04744,0.5657,08:00,10:00
